SJEU8777103: 28.233.918/3530-92<->65.419.099/1075-13
WHZU7742323: 10.638.203/0269-67<->56.775.638/9070-41
PBWZ3112647: 17.930.251/3073-48<->52.998.196/9811-35
WUZU0065520: 52.547.858/5395-86<->87.047.681/0351-08
IKDU0296927: 08.099.369/4506-54<->14.912.397/1268-13
ZBHU6899889: 45.293.639/7103-03<->76.432.053/6349-89
OKYJ6018882: 50.539.616/2460-37<->83.935.913/6931-92
DTWJ5995695: 89.573.106/5339-66<->03.390.508/7620-19
IPUZ4999157: 43.658.653/4910-39<->45.299.822/4273-66
QRKU2327672: 83.409.348/9670-60<->37.133.350/1205-68
SPCZ9034476: 21.824.685/0027-01<->85.831.094/5928-01
JVSZ1487287: 97.788.841/3195-41<->43.370.938/5684-56
VZBJ9312451: 73.586.444/7320-44<->37.517.346/7252-32
RNNJ7352110: 61.537.388/6542-19<->65.462.345/3306-75
DEWJ9842682: 15.146.061/2664-68<->38.323.630/7962-23
AILJ6941808: 45.019.407/4582-27<->11.648.831/4368-68
UGRJ0649501: 97.689.713/0966-35<->64.562.423/0541-32
HYWZ6248590: 67.145.928/2451-59<->36.741.576/4990-08
VYBJ0782966: 54.121.001/7342-87<->71.193.650/5310-84
HSHU4815895: 84.356.594/0236-48<->44.784.994/4367-72
FZKZ0864500: 25.809.695/2087-97<->32.775.482/0403-88
TKRZ9422857: 65.328.381/1153-77<->66.649.682/6904-40
NAIJ3041230: 47.901.739/0639-37<->05.113.523/8341-75
RQUU8367026: 83.851.017/0708-99<->47.428.785/6676-94
OIVZ8880355: 80.758.180/2976-49<->58.332.396/0336-34
CDMZ5156513: 34.191.523/2991-01<->88.226.395/9595-54
MHLJ3696286: 95.013.304/6896-14<->78.965.081/5615-31
LZMJ2351120: 64.689.960/6200-48<->84.545.855/4188-47
EBAU7049523: 80.819.360/8595-86<->37.119.962/7091-32
HPJZ6167595: 21.536.131/3312-09<->57.295.276/3003-87
UWUU1685469: 28.764.413/0789-94<->78.121.686/7263-44
PTFJ2356100: 89.962.753/4782-67<->66.668.242/0311-94
PDJJ6623435: 69.612.579/2245-97<->42.535.159/9476-77
ASQZ9213161: 68.969.790/7219-15<->59.329.626/4279-19
SWYJ3199528: 86.242.740/5720-72<->26.165.589/3086-19
RCVZ9875607: 64.276.875/7177-61<->64.882.931/0798-01
QAZZ8633765: 79.061.679/5661-83<->90.468.078/3135-75
BKOJ2394131: 08.812.588/1306-54<->72.533.206/8495-10
DKBJ4133792: 81.830.047/0204-50<->86.210.197/0263-06
TJRU7451016: 36.602.087/5354-74<->84.470.456/0127-62
GLKJ3150072: 05.685.038/8711-26<->46.870.112/3007-31
VDBU4646770: 95.945.618/8490-74<->22.102.200/4232-43
FKAZ0762822: 19.931.234/1523-08<->25.595.869/0576-94
HDWJ6174616: 25.160.371/6401-64<->62.641.916/9316-26
IFZZ5534337: 65.220.542/4776-39<->61.857.079/2097-76
IDLJ2420589: 00.062.530/6305-08<->03.599.074/5569-92
IXMZ9148690: 84.339.394/0015-33<->90.555.318/8766-30
OABU4390839: 90.437.114/0030-90<->61.566.502/9435-06
JZWJ1668948: 06.337.185/1897-90<->33.686.516/7410-12
KJDZ6942360: 41.280.127/5542-70<->97.746.452/7298-43
OKAU7067366: 07.075.825/4448-02<->90.863.521/8924-26
OWFU9518755: 74.734.297/6135-80<->36.872.811/0491-56
DGIU9043314: 61.853.062/6328-35<->26.529.332/0144-39
LVFZ0047940: 55.502.156/7528-75<->77.970.345/3845-52
TKUU3726017: 44.553.654/7778-53<->42.101.571/0128-31
CWEJ5618265: 95.671.672/6807-65<->03.768.698/6806-01
SBGJ8314912: 70.778.182/1586-60<->60.001.150/3937-55
OSLZ9297316: 62.801.840/8790-85<->51.816.990/4375-29
GNFU0055197: 91.879.394/3364-68<->60.973.355/4133-33
CFVJ3353739: 97.630.597/4880-49<->82.988.157/6450-14
ALEJ9678979: 40.122.333/4918-26<->81.495.710/2467-70
LBZU1502449: 13.377.630/1038-13<->99.438.585/1927-18
OSBZ9756170: 50.417.181/0628-04<->95.734.101/8167-12
FQJJ1929184: 39.963.605/8025-48<->87.214.940/7182-37
VEMU8663746: 59.208.309/2068-50<->62.187.847/0502-23
CRQJ6490441: 63.199.524/9469-59<->68.746.288/6375-53
RNLZ4911474: 95.295.238/9926-27<->47.626.245/8504-89
LCEU5740393: 96.041.374/0611-79<->65.241.716/3962-12
YVPZ1199594: 74.389.556/6850-94<->02.059.331/6556-28
AXOZ9727551: 09.215.178/0957-65<->83.264.774/9741-59
QICJ0832870: 55.355.783/3066-79<->56.051.692/6904-58
HQHJ6175127: 98.482.762/5092-41<->62.731.382/1813-82
UIEU9685911: 63.610.326/8319-37<->63.002.690/2606-44
MTIZ6313733: 80.800.920/0291-73<->82.888.415/6870-58
SXWU6442248: 46.082.859/2695-17<->00.535.725/9143-57
ELMZ1362280: 66.056.519/4044-73<->01.521.620/9865-42
CWQU8313522: 78.689.823/2976-42<->81.276.563/4645-45
JGGU0267329: 57.555.245/0627-68<->27.068.885/4463-05
IFOZ9510941: 15.276.925/7643-91<->88.091.961/3345-14
JBFU5811352: 83.300.005/8807-81<->28.669.746/6018-08
KTEU6393044: 67.548.913/0952-52<->98.357.302/6733-34
ARNU5342129: 40.392.313/0516-99<->21.337.863/2205-20
ZHSJ1367522: 67.869.903/3816-06<->20.569.329/6110-09
JXGJ0620257: 27.690.651/8597-02<->53.935.274/4269-49
JETJ1664517: 57.024.860/8043-10<->07.429.294/9256-69
QYMJ0512073: 83.603.856/5811-35<->25.916.298/1481-65
NZUZ5286901: 38.263.222/5476-94<->29.863.097/3119-21
IWAZ4855870: 64.876.826/9623-48<->91.057.247/0266-76
KQWU3668267: 24.721.719/6920-15<->39.144.538/0791-67
WSGZ6505161: 28.938.288/9557-36<->44.383.339/0165-66
YDNU8557805: 11.022.425/9458-59<->85.564.264/3387-71
PUKU1003494: 35.309.172/8068-67<->29.753.983/7473-91
YHBU5099299: 07.387.644/5829-45<->72.854.390/3222-15
BEWJ8605348: 60.059.416/9781-94<->75.469.921/1100-06
QUPZ8345598: 09.310.304/6783-70<->79.310.208/9229-62
BKFZ2783267: 76.247.185/1363-01<->72.506.269/6838-48
MQDU0556773: 65.933.877/5636-91<->49.165.243/3261-56
IRQJ7681828: 48.040.351/1301-55<->43.374.360/5903-39
YCWZ8871890: 73.317.977/7577-40<->96.511.340/4026-60
WTWJ0215122: 88.713.058/9916-49<->47.532.983/4600-48
LXJU9731194: 72.097.796/9214-79<->78.847.644/5535-26
MNGZ0249368: 28.179.167/8004-37<->70.611.657/7827-69
WWTZ5110435: 00.180.115/2024-63<->28.276.922/5282-45
QZXJ8536055: 67.582.165/9731-24<->09.245.455/7995-60
WGVJ6473145: 90.045.273/0904-67<->23.303.577/7378-37
GFSJ5021065: 00.393.554/4401-19<->11.049.301/9905-71
AXBJ4796970: 35.243.791/0551-92<->85.415.185/3589-26
ICUU4121492: 17.584.771/3447-11<->18.150.823/8542-55
MPRU9016164: 16.917.199/5572-70<->48.103.123/7441-00
UNAU9751849: 46.217.467/4204-73<->86.587.192/4322-80
VGJU7107571: 20.293.268/3610-22<->74.896.217/1489-46
LVZZ4076004: 63.149.246/2977-48<->15.757.277/1229-56
CEEU1090704: 58.465.726/2342-27<->21.461.843/6255-88
FQGU9940992: 74.897.203/0188-71<->07.502.188/8454-29
OWIU8513733: 30.425.748/6076-35<->11.299.284/6679-38
PGKJ7450485: 22.308.616/8500-40<->06.061.733/4604-07
UUZJ8813492: 37.498.928/7095-22<->52.837.364/5678-05
JFOJ7626354: 52.467.907/7153-21<->09.988.326/7445-75
SLLZ8072953: 49.470.957/1494-19<->51.083.243/2058-16
MHBZ7047728: 59.416.571/6392-37<->62.728.672/2744-33
NQCJ7249023: 45.859.193/4430-74<->34.941.064/9245-78
XRHZ1714779: 32.713.904/3104-07<->91.016.204/3007-68
SKRJ0898681: 53.676.281/7960-28<->86.596.458/9438-29
QZJJ3538610: 52.380.481/1690-63<->93.404.710/1326-43
MJZU8597165: 80.535.167/5760-31<->35.298.299/3367-37
FMDZ5477244: 51.276.912/3952-30<->47.100.366/5889-84
MBWJ4723308: 48.503.897/7777-27<->87.361.460/8092-53
JCLU8368262: 35.761.362/4625-88<->86.570.448/9589-95
ANOU5162108: 35.322.452/5667-87<->90.559.797/3222-19
IEWZ9591185: 16.490.165/3749-23<->71.177.464/1867-59
HSOU9605205: 28.630.580/9992-65<->64.398.472/1632-56
LSRJ1786593: 32.672.620/5695-97<->40.227.971/3897-50
XHUU7422189: 91.267.659/1250-98<->42.662.244/9717-19
ZITJ7060666: 22.996.601/3561-92<->22.034.510/4898-29
OBJJ2647894: 83.813.864/4204-30<->33.162.782/2005-08
ESAZ0028736: 19.791.492/8520-25<->52.299.411/9987-02
ZCKZ7137177: 87.963.860/3204-91<->40.092.309/1942-03
SRCZ0547245: 60.864.876/7822-54<->22.569.355/5561-95
AWZJ1236265: 02.677.710/6253-05<->53.202.208/5444-83
RQRZ5807094: 01.347.713/1019-38<->68.377.984/7673-92
YVOJ6271008: 48.340.093/1419-35<->55.805.949/8711-60
XORZ8921170: 64.061.794/4195-10<->96.071.366/4187-53
IAYZ9480767: 13.936.830/4440-01<->50.002.669/3978-99
DNHZ0414425: 08.681.128/2756-81<->20.924.322/2891-30
GIPU5850409: 63.933.080/7348-04<->04.705.652/4167-13
JIZZ3126374: 95.976.018/4558-89<->03.439.319/0307-94
RJOJ5658422: 93.280.939/4589-65<->78.831.609/4320-09
WDHJ2235036: 15.398.171/2869-49<->08.951.193/9086-27
DUKZ0463969: 60.530.621/2470-08<->82.997.202/3763-93
QEHZ5099296: 87.722.530/6046-08<->86.662.260/9425-10
TWWU5313584: 81.565.412/9662-76<->40.280.744/5181-72
BTJZ0677877: 70.088.912/3606-87<->31.041.907/1758-46
BEUU5438145: 94.319.243/0882-44<->76.999.782/7698-57
GWUJ2747305: 96.662.790/8060-29<->25.519.383/8993-82
QNKU8813453: 50.402.018/3687-82<->81.191.691/9620-08
XQKU7542934: 42.668.900/8833-53<->57.905.702/5271-76
ATOJ7255286: 86.661.395/7104-81<->63.034.575/5989-54
FUVZ4361879: 63.394.231/4617-60<->74.819.290/5979-13
QYLU3079104: 57.786.012/8151-09<->44.783.454/3213-23
RGKZ3084794: 88.200.741/9831-24<->06.436.454/0915-29
UZMJ8415650: 62.074.657/4204-11<->07.170.343/6427-29
OQUJ8340897: 70.625.189/1462-84<->98.955.482/8904-94
CQOZ5409183: 87.084.789/7750-23<->69.425.576/8252-04
IXCU6975291: 25.430.424/6827-04<->43.242.205/1044-79
MXYJ3837900: 40.235.740/6300-18<->35.452.399/5387-15
EQAZ3202252: 09.103.067/3863-85<->31.101.653/5504-44
GXZU7614678: 94.766.084/5533-57<->14.076.007/1572-98
RQZZ0502056: 91.273.190/5522-41<->97.698.948/1977-99
JPQZ3514938: 28.612.948/1889-18<->80.260.317/4355-99
NIVJ8714828: 88.753.962/1230-02<->67.179.897/4727-87
CHLU3114030: 54.949.344/5576-93<->56.710.461/5318-06
XTVU4935877: 38.160.498/2193-11<->99.600.861/7343-04
IVVU5741418: 28.267.058/4751-57<->46.110.958/2476-24
DJQJ5811831: 21.107.935/9874-90<->14.323.799/1104-14
ZRIU3348822: 08.627.222/2447-03<->40.694.068/8891-34
MHSJ8329664: 15.112.587/4093-48<->68.528.899/7202-20
IRYU0729812: 81.230.130/5902-23<->17.054.409/4806-83
MSQJ2401248: 41.466.440/2309-22<->61.975.508/0127-04
UCTU4997527: 56.964.441/0847-82<->87.302.327/1934-76
YKCJ9911466: 43.169.685/4836-08<->65.155.988/4510-01
PPUU7184728: 00.657.780/9530-08<->44.549.464/0182-09
ZVDZ9126240: 50.555.468/8791-02<->90.658.087/6274-35
EBGJ5477212: 18.862.697/4423-39<->66.478.969/3010-64
IPEU8840385: 81.362.012/0439-70<->24.070.777/0260-95
SZCJ2741161: 03.562.760/3441-79<->43.252.836/7558-88
UAHJ5317538: 47.270.250/5880-22<->33.451.584/3720-72
BZIU3078779: 27.902.465/8357-30<->33.394.351/0099-24
GBZU4806573: 11.080.276/8315-92<->58.559.443/7692-31
TRXJ5748691: 63.450.775/3890-29<->61.751.255/3846-06
PRNJ4024909: 54.453.641/2639-24<->01.745.641/3255-96
UDBJ6362705: 05.921.646/5580-86<->47.823.216/2583-64
FCGZ7301104: 52.650.868/8589-25<->08.386.043/0152-27
EOUJ3635405: 04.594.845/3115-73<->51.004.753/0310-80
OMUJ3029271: 86.723.634/9555-77<->54.049.105/4726-03
JZSZ8097509: 32.975.985/7223-08<->92.196.467/6814-65
JMTZ2291768: 24.894.772/1760-40<->92.611.815/1955-11
EFCZ1009172: 79.914.973/8602-74<->96.045.361/2094-46
XIWZ9984362: 25.738.753/6327-95<->95.667.178/4366-30
DZGJ4851057: 65.148.936/3147-36<->42.704.552/6825-97
CLRU8668247: 68.670.294/0497-66<->20.790.558/2919-11
PHBJ8461430: 45.529.184/0763-71<->42.276.804/8014-32
ODUZ5891581: 98.326.925/1999-60<->55.844.694/1685-17
NNUJ0836193: 39.428.447/4188-34<->07.889.477/8239-15
UTAJ5576825: 38.700.052/7488-98<->82.752.690/7304-01
LJLZ3969308: 27.929.454/1820-50<->00.943.639/7426-47
JRLJ9771557: 39.665.286/6134-55<->78.935.415/3668-84
QERJ2304829: 00.478.118/1913-77<->64.678.130/7613-42
BINU7007618: 01.188.644/5236-88<->17.355.159/7269-53
MDDZ7547357: 23.693.867/1094-77<->87.004.043/3131-49
QCHU9393053: 44.079.242/7602-10<->56.316.213/3178-21
UBMJ2579335: 92.212.125/5238-59<->83.156.343/4387-12
LLHZ5190518: 62.245.947/3248-93<->54.474.438/6246-86
SSIZ4515639: 98.913.333/8783-46<->49.487.345/9376-15
SRGJ2493338: 44.829.696/5072-21<->21.586.899/4885-57
ZNEJ7019005: 39.299.413/0999-07<->43.904.626/9381-31
COFZ8586543: 90.671.713/8346-45<->76.993.787/3918-63
KJHZ4476454: 62.906.448/9156-00<->89.092.557/8560-89
VPLZ8116985: 17.779.053/4867-46<->32.640.697/4660-09
UWRZ3607795: 83.654.801/5638-37<->22.318.362/0258-04
VRYU8944614: 55.066.567/0012-41<->57.500.469/4249-90
XEGJ2685151: 68.440.521/3436-61<->63.594.519/8996-34
HYMJ2675396: 42.702.155/1704-88<->29.925.627/4936-09
BHWZ5355829: 16.661.839/7313-75<->40.582.267/7813-65
LQXZ7408744: 48.438.957/1846-04<->35.926.753/5837-38
VZTJ6519946: 31.773.223/0449-72<->65.996.788/9636-86
XASU2070811: 40.899.812/5208-02<->93.131.916/9478-68
UOZZ7563784: 20.931.114/0875-23<->20.856.120/1902-72
CVRJ0679837: 25.493.375/6220-41<->78.504.322/5739-45
RVNJ7463778: 99.822.165/0786-39<->29.050.302/0203-61
MSUJ4109127: 77.261.102/9409-40<->36.469.400/5566-15
SWEJ6654106: 19.338.410/9200-92<->85.956.678/0977-99
TNRU3822305: 22.538.758/7540-46<->09.464.326/2530-42
GVMZ6015810: 59.558.628/0354-66<->48.756.998/9742-94
TUGZ8279655: 46.780.801/2257-59<->40.099.340/2818-42
QKLU4529420: 86.299.344/5254-13<->61.175.379/7961-33
EGEU8406545: 39.812.331/0601-70<->22.644.417/5261-96
ZGWU2956541: 92.786.165/9355-91<->87.960.940/7281-51
IAJU2275614: 90.439.982/8909-79<->76.765.536/4380-16
YDXZ6740820: 47.125.779/0373-11<->27.686.800/2534-49
HOWZ5393293: 02.746.643/6439-08<->54.134.476/9047-36
LHKU3351308: 27.376.998/2883-74<->59.432.467/7521-67
LBMZ2216111: 89.219.962/5261-75<->34.744.305/1020-00
VOMJ0848146: 83.974.418/0445-63<->79.574.742/9773-33
FFVZ5092812: 10.017.742/8471-64<->20.415.113/6214-59
CEBJ7443194: 39.278.343/2242-12<->47.057.170/9756-26
HFVU5059364: 10.376.117/7790-28<->68.158.886/6043-28
KLVZ0534305: 36.287.504/9585-64<->94.608.454/7272-06
DEHJ2360188: 77.925.728/6236-03<->63.167.146/0245-97
CKAJ9956159: 08.327.244/7818-64<->66.376.103/7571-62
QVWU9216091: 41.989.175/6949-87<->24.379.376/3569-17
BQNJ7795444: 78.364.913/2333-07<->66.167.005/1224-56
GTJU4408322: 33.881.721/3978-62<->14.605.291/3301-10
NBVJ0384946: 63.193.160/5530-54<->16.321.197/1357-08
RFHJ3473341: 89.119.335/9622-97<->94.411.877/4268-50
VLDZ2532670: 01.145.893/9082-68<->62.202.124/7321-53
FLBZ7955879: 31.786.980/5492-13<->54.479.022/6142-24
UMQU2514271: 66.537.603/7059-26<->79.385.099/1880-13
FSEZ0512697: 51.414.591/9067-75<->42.324.783/8502-97
BWDZ8329263: 59.660.112/0894-28<->06.255.006/4259-88
XGKJ5308349: 39.812.255/1614-82<->75.785.301/8847-10
NDAU5184649: 08.158.925/8470-32<->93.746.279/4235-89
UCSZ2423891: 86.461.315/2360-44<->99.008.892/8578-87
KSTZ4306462: 85.307.229/8170-31<->18.451.608/9428-88
QRVZ1169273: 96.700.845/9746-53<->20.376.718/0588-77
BOOZ8409255: 99.781.394/5155-61<->82.392.640/2030-61
RYTJ1488187: 89.916.745/3245-93<->68.243.283/8723-96
YYXJ6579537: 22.090.320/3133-98<->76.306.693/0294-68
TNHZ7107952: 95.397.448/7699-60<->27.181.369/0457-57
SKBZ6964672: 42.764.320/7879-02<->58.296.313/7621-47
KXLZ0950362: 49.171.494/6741-87<->52.211.106/2572-31
GGMZ2608488: 01.900.939/5219-85<->85.477.008/0031-46
PUHU5121900: 35.302.051/5781-82<->52.047.819/3904-44
RSKJ0390376: 22.949.230/4389-70<->68.893.581/8619-39
IIQZ3002900: 52.339.168/6705-71<->39.082.987/3569-34
UNWU6078212: 36.495.168/7490-15<->84.580.712/2948-60
ZAXU0300877: 83.913.827/2551-31<->56.647.350/5279-98
LDYZ5597089: 78.488.533/8631-47<->65.853.490/9583-34
MCFZ8602971: 71.261.166/1443-73<->05.188.934/3964-62
LUPZ6184656: 72.432.797/8303-55<->83.898.180/9456-86
TCIZ6569381: 74.840.652/3664-89<->22.081.198/2020-06
VPHJ0663160: 61.301.166/9119-97<->73.689.190/6619-35
AAUJ1804021: 69.936.656/2540-27<->61.390.176/3581-04
FIEJ8507210: 07.909.197/1864-43<->97.968.688/7820-72
AHIJ4642143: 64.263.345/7030-49<->74.606.679/9441-11
CVJU6524842: 72.293.621/6166-19<->86.021.204/4912-66
NVYZ6298165: 20.460.191/5212-63<->98.016.984/6319-94
BIHZ8609101: 79.107.578/2236-28<->42.717.756/7576-94
JYXJ1190710: 18.236.292/4289-05<->83.197.872/7412-28
SILZ3637487: 51.518.105/2858-17<->35.931.757/2431-75
UVQU5229067: 43.007.561/6562-87<->40.338.502/9091-21
IEWJ8943736: 07.146.004/4157-00<->61.105.833/6321-63
JBJJ6463013: 65.892.316/6975-20<->36.842.304/7980-66
KIYZ8052715: 38.850.057/4372-69<->37.612.017/3931-53
KVGZ0101561: 69.000.329/1872-49<->64.110.742/0592-77
RBMZ6868015: 37.119.105/6077-30<->98.729.103/9092-25
PEBU5532208: 58.844.475/1627-67<->71.092.435/3777-02
RFXJ3729774: 56.145.008/6432-35<->01.577.855/1090-28
PHHJ7792038: 70.667.638/1516-03<->75.630.665/0202-29
WAEJ6643270: 52.593.244/5636-67<->90.405.514/8622-75
WHZJ8503970: 32.507.408/6859-32<->19.092.019/2479-73
BJOU5385256: 08.637.549/6881-89<->17.071.140/2804-24
UBQZ0614199: 36.952.271/9961-48<->18.643.043/0389-03
KTMZ6476612: 95.147.853/2780-61<->49.702.785/2856-53
WNLJ7450937: 49.111.592/1013-71<->39.010.119/6576-26
FQLU9183287: 44.244.775/4939-28<->88.304.627/2828-81
UVHU0677585: 90.681.635/5388-74<->82.441.895/4493-77
BVJU4399147: 25.756.595/0056-64<->38.192.324/7184-58
KDQJ2036821: 58.142.857/7404-03<->33.193.309/6157-96
